Ano,Emplacamento,Exportacao,Producao,Exportacao_pct_Producao,Emplacamento_pct_Producao,Producao_var_pct_aa,Exportacao_var_pct_aa,Emplacamento_var_pct_aa
1957,18063.0,,16259.0,,111.1,,,
1958,27384.0,,26998.0,,101.43,66.05,,51.6
1959,37211.0,,36657.0,,101.51,35.78,,35.89
1960,38053.0,,37810.0,,100.64,3.15,,2.26
1961,26289.0,,26891.0,,97.76,-28.88,,-30.91
1962,36194.0,,36174.0,,100.06,34.52,,37.68
1963,21536.0,,21556.0,,99.91,-40.41,,-40.5
1964,21174.0,,21790.0,,97.17,1.09,,-1.68
1965,22451.0,9.0,21828.0,0.04,102.85,0.17,,6.03
1966,30547.0,3.0,31098.0,0.01,98.23,42.47,-66.67,36.06
1967,27609.0,3.0,27141.0,0.01,101.72,-12.72,0.0,-9.62
1968,40458.0,7.0,40642.0,0.02,99.55,49.74,133.33,46.54
1969,39433.0,4.0,40569.0,0.01,97.2,-0.18,-42.86,-2.53
1970,38167.0,122.0,38388.0,0.32,99.42,-5.38,2950.0,-3.21
1971,37643.0,364.0,38868.0,0.94,96.85,1.25,198.36,-1.37
1972,50342.0,544.0,50150.0,1.08,100.38,29.03,49.45,33.74
1973,64818.0,1384.0,64828.0,2.13,99.98,29.27,154.41,28.76
1974,71433.0,2932.0,75149.0,3.9,95.06,15.92,111.85,10.21
1975,69901.0,4416.0,74891.0,5.9,93.34,-0.34,50.61,-2.14
1976,74971.0,6084.0,80885.0,7.52,92.69,8.0,37.77,7.25
1977,90247.0,6427.0,99527.0,6.46,90.68,23.05,5.64,20.38
1978,78891.0,7524.0,83649.0,8.99,94.31,-15.95,17.07,-12.58
1979,78706.0,11255.0,89959.0,12.51,87.49,7.54,49.59,-0.23
1980,81933.0,14462.0,97463.0,14.84,84.07,8.34,28.49,4.1
1981,55938.0,11745.0,69312.0,16.95,80.7,-28.88,-18.79,-31.73
1982,41257.0,2580.0,44000.0,5.86,93.77,-36.52,-78.03,-26.25
1983,34573.0,1419.0,33235.0,4.27,104.03,-24.47,-45.0,-16.2
1984,42884.0,1596.0,43117.0,3.7,99.46,29.73,12.47,24.04
1985,55664.0,4738.0,60266.0,7.86,92.36,39.77,196.87,29.8
1986,71853.0,5674.0,78634.0,7.22,91.38,30.48,19.76,29.08
1987,56385.0,11244.0,67935.0,16.55,83.0,-13.61,98.17,-21.53
1988,54912.0,12924.0,68880.0,18.76,79.72,1.39,14.94,-2.61
1989,48178.0,9988.0,57013.0,17.52,84.5,-17.23,-22.72,-12.26
1990,41313.0,5060.0,48219.0,10.49,85.68,-15.42,-49.34,-14.25
1991,41464.0,3601.0,46715.0,7.71,88.76,-3.12,-28.83,0.37
1992,25659.0,7794.0,30960.0,25.17,82.88,-33.73,116.44,-38.12
1993,38383.0,8588.0,45382.0,18.92,84.58,46.58,10.19,49.59
1994,52349.0,10390.0,60019.0,17.31,87.22,32.25,20.98,36.39
1995,58734.0,8266.0,70073.0,11.8,83.82,16.75,-20.44,12.2
1996,42134.0,7883.0,48022.0,16.42,87.74,-31.47,-4.63,-28.26
1997,54931.0,12126.0,63414.0,19.12,86.62,32.05,53.82,30.37
1998,52768.0,14042.0,63264.0,22.2,83.41,-0.24,15.8,-3.94
1999,50665.0,8386.0,55194.0,15.19,91.79,-12.76,-40.28,-3.99
2000,69209.0,8745.0,71114.0,12.3,97.32,28.84,4.28,36.6
2001,73517.0,6562.0,77251.0,8.49,95.17,8.63,-24.96,6.22
2002,65680.0,5291.0,68354.0,7.74,96.09,-11.52,-19.37,-10.66
2003,65962.0,11685.0,77785.0,15.02,84.8,13.8,120.85,0.43
2004,81484.0,23216.0,104792.0,22.15,77.76,34.72,98.68,23.53
2005,79533.0,33632.0,112921.0,29.78,70.43,7.76,44.87,-2.39
2006,75971.0,35083.0,103297.0,33.96,73.55,-8.52,4.31,-4.48
2007,98585.0,38111.0,133739.0,28.5,73.71,29.47,8.63,29.77
2008,122287.0,34831.0,163757.0,21.27,74.68,22.45,-8.61,24.04
2009,109827.0,10851.0,120994.0,8.97,90.77,-26.11,-68.85,-10.19
2010,157707.0,21182.0,189933.0,11.15,83.03,56.98,95.21,43.6
2011,172870.0,27034.0,223602.0,12.09,77.31,17.73,27.63,9.61
2012,139174.0,23067.0,133403.0,17.29,104.33,-40.34,-14.67,-19.49
2013,154576.0,24201.0,187002.0,12.94,82.66,40.18,4.92,11.07
2014,137055.0,17737.0,139965.0,12.67,97.92,-25.15,-26.71,-11.33
2015,71652.0,20983.0,74062.0,28.33,96.75,-47.09,18.3,-47.72
2016,50560.0,21548.0,60482.0,35.63,83.6,-18.34,2.69,-29.44
2017,51943.0,28220.0,83044.0,33.98,62.55,37.3,30.96,2.74
2018,76005.0,24642.0,105534.0,23.35,72.02,27.08,-12.68,46.32
2019,101335.0,13552.0,113476.0,11.94,89.3,7.53,-45.0,33.33
2020,89687.0,13243.0,90936.0,14.56,98.63,-19.86,-2.28,-11.49
2021,128689.0,22699.0,158810.0,14.29,81.03,74.64,71.4,43.49
2022,126654.0,25258.0,161992.0,15.59,78.19,2.0,11.27,-1.58
2023,107960.0,16946.0,100535.0,16.86,107.39,-37.94,-32.91,-14.76
2024,124848.0,17890.0,141252.0,12.67,88.39,40.5,5.57,15.64
2025,113479.0,26984.0,124116.0,21.74,91.43,-12.13,50.83,-9.11
