Ano,Metrica,Valor
1957,Emplacamento,18063
1958,Emplacamento,27384
1959,Emplacamento,37211
1960,Emplacamento,38053
1961,Emplacamento,26289
1962,Emplacamento,36194
1963,Emplacamento,21536
1964,Emplacamento,21174
1965,Emplacamento,22451
1966,Emplacamento,30547
1967,Emplacamento,27609
1968,Emplacamento,40458
1969,Emplacamento,39433
1970,Emplacamento,38167
1971,Emplacamento,37643
1972,Emplacamento,50342
1973,Emplacamento,64818
1974,Emplacamento,71433
1975,Emplacamento,69901
1976,Emplacamento,74971
1977,Emplacamento,90247
1978,Emplacamento,78891
1979,Emplacamento,78706
1980,Emplacamento,81933
1981,Emplacamento,55938
1982,Emplacamento,41257
1983,Emplacamento,34573
1984,Emplacamento,42884
1985,Emplacamento,55664
1986,Emplacamento,71853
1987,Emplacamento,56385
1988,Emplacamento,54912
1989,Emplacamento,48178
1990,Emplacamento,41313
1991,Emplacamento,41464
1992,Emplacamento,25659
1993,Emplacamento,38383
1994,Emplacamento,52349
1995,Emplacamento,58734
1996,Emplacamento,42134
1997,Emplacamento,54931
1998,Emplacamento,52768
1999,Emplacamento,50665
2000,Emplacamento,69209
2001,Emplacamento,73517
2002,Emplacamento,65680
2003,Emplacamento,65962
2004,Emplacamento,81484
2005,Emplacamento,79533
2006,Emplacamento,75971
2007,Emplacamento,98585
2008,Emplacamento,122287
2009,Emplacamento,109827
2010,Emplacamento,157707
2011,Emplacamento,172870
2012,Emplacamento,139174
2013,Emplacamento,154576
2014,Emplacamento,137055
2015,Emplacamento,71652
2016,Emplacamento,50560
2017,Emplacamento,51943
2018,Emplacamento,76005
2019,Emplacamento,101335
2020,Emplacamento,89687
2021,Emplacamento,128689
2022,Emplacamento,126654
2023,Emplacamento,107960
2024,Emplacamento,124848
2025,Emplacamento,113479
1965,Exportacao,9
1966,Exportacao,3
1967,Exportacao,3
1968,Exportacao,7
1969,Exportacao,4
1970,Exportacao,122
1971,Exportacao,364
1972,Exportacao,544
1973,Exportacao,1384
1974,Exportacao,2932
1975,Exportacao,4416
1976,Exportacao,6084
1977,Exportacao,6427
1978,Exportacao,7524
1979,Exportacao,11255
1980,Exportacao,14462
1981,Exportacao,11745
1982,Exportacao,2580
1983,Exportacao,1419
1984,Exportacao,1596
1985,Exportacao,4738
1986,Exportacao,5674
1987,Exportacao,11244
1988,Exportacao,12924
1989,Exportacao,9988
1990,Exportacao,5060
1991,Exportacao,3601
1992,Exportacao,7794
1993,Exportacao,8588
1994,Exportacao,10390
1995,Exportacao,8266
1996,Exportacao,7883
1997,Exportacao,12126
1998,Exportacao,14042
1999,Exportacao,8386
2000,Exportacao,8745
2001,Exportacao,6562
2002,Exportacao,5291
2003,Exportacao,11685
2004,Exportacao,23216
2005,Exportacao,33632
2006,Exportacao,35083
2007,Exportacao,38111
2008,Exportacao,34831
2009,Exportacao,10851
2010,Exportacao,21182
2011,Exportacao,27034
2012,Exportacao,23067
2013,Exportacao,24201
2014,Exportacao,17737
2015,Exportacao,20983
2016,Exportacao,21548
2017,Exportacao,28220
2018,Exportacao,24642
2019,Exportacao,13552
2020,Exportacao,13243
2021,Exportacao,22699
2022,Exportacao,25258
2023,Exportacao,16946
2024,Exportacao,17890
2025,Exportacao,26984
1957,Producao,16259
1958,Producao,26998
1959,Producao,36657
1960,Producao,37810
1961,Producao,26891
1962,Producao,36174
1963,Producao,21556
1964,Producao,21790
1965,Producao,21828
1966,Producao,31098
1967,Producao,27141
1968,Producao,40642
1969,Producao,40569
1970,Producao,38388
1971,Producao,38868
1972,Producao,50150
1973,Producao,64828
1974,Producao,75149
1975,Producao,74891
1976,Producao,80885
1977,Producao,99527
1978,Producao,83649
1979,Producao,89959
1980,Producao,97463
1981,Producao,69312
1982,Producao,44000
1983,Producao,33235
1984,Producao,43117
1985,Producao,60266
1986,Producao,78634
1987,Producao,67935
1988,Producao,68880
1989,Producao,57013
1990,Producao,48219
1991,Producao,46715
1992,Producao,30960
1993,Producao,45382
1994,Producao,60019
1995,Producao,70073
1996,Producao,48022
1997,Producao,63414
1998,Producao,63264
1999,Producao,55194
2000,Producao,71114
2001,Producao,77251
2002,Producao,68354
2003,Producao,77785
2004,Producao,104792
2005,Producao,112921
2006,Producao,103297
2007,Producao,133739
2008,Producao,163757
2009,Producao,120994
2010,Producao,189933
2011,Producao,223602
2012,Producao,133403
2013,Producao,187002
2014,Producao,139965
2015,Producao,74062
2016,Producao,60482
2017,Producao,83044
2018,Producao,105534
2019,Producao,113476
2020,Producao,90936
2021,Producao,158810
2022,Producao,161992
2023,Producao,100535
2024,Producao,141252
2025,Producao,124116
