Data,Ano,Mes,MesNome,AnoCompleto,Emplacamento,Exportacao,Producao
1957-01-01,1957,1,JAN,True,1037.0,,981.0
1957-02-01,1957,2,FEV,True,1262.0,,1103.0
1957-03-01,1957,3,MAR,True,1706.0,,1290.0
1957-04-01,1957,4,ABR,True,1525.0,,1266.0
1957-05-01,1957,5,MAI,True,1698.0,,1439.0
1957-06-01,1957,6,JUN,True,1659.0,,1431.0
1957-07-01,1957,7,JUL,True,1589.0,,1541.0
1957-08-01,1957,8,AGO,True,1810.0,,1483.0
1957-09-01,1957,9,SET,True,1314.0,,1477.0
1957-10-01,1957,10,OUT,True,1176.0,,1501.0
1957-11-01,1957,11,NOV,True,1097.0,,1460.0
1957-12-01,1957,12,DEZ,True,2190.0,,1287.0
1958-01-01,1958,1,JAN,True,1587.0,,1659.0
1958-02-01,1958,2,FEV,True,1715.0,,1810.0
1958-03-01,1958,3,MAR,True,2783.0,,2138.0
1958-04-01,1958,4,ABR,True,2355.0,,2095.0
1958-05-01,1958,5,MAI,True,2537.0,,2373.0
1958-06-01,1958,6,JUN,True,2821.0,,2359.0
1958-07-01,1958,7,JUL,True,2565.0,,2534.0
1958-08-01,1958,8,AGO,True,2664.0,,2463.0
1958-09-01,1958,9,SET,True,1974.0,,2451.0
1958-10-01,1958,10,OUT,True,1839.0,,2505.0
1958-11-01,1958,11,NOV,True,1497.0,,2388.0
1958-12-01,1958,12,DEZ,True,3047.0,,2223.0
1959-01-01,1959,1,JAN,True,2222.0,,2330.0
1959-02-01,1959,2,FEV,True,2436.0,,2365.0
1959-03-01,1959,3,MAR,True,3565.0,,2833.0
1959-04-01,1959,4,ABR,True,3106.0,,2829.0
1959-05-01,1959,5,MAI,True,3522.0,,3198.0
1959-06-01,1959,6,JUN,True,3967.0,,3208.0
1959-07-01,1959,7,JUL,True,3562.0,,3401.0
1959-08-01,1959,8,AGO,True,3508.0,,3395.0
1959-09-01,1959,9,SET,True,2744.0,,3312.0
1959-10-01,1959,10,OUT,True,2556.0,,3401.0
1959-11-01,1959,11,NOV,True,1901.0,,3193.0
1959-12-01,1959,12,DEZ,True,4122.0,,3192.0
1960-01-01,1960,1,JAN,True,2313.0,,2427.0
1960-02-01,1960,2,FEV,True,2598.0,,2461.0
1960-03-01,1960,3,MAR,True,3612.0,,2937.0
1960-04-01,1960,4,ABR,True,3186.0,,2926.0
1960-05-01,1960,5,MAI,True,3681.0,,3297.0
1960-06-01,1960,6,JUN,True,3905.0,,3313.0
1960-07-01,1960,7,JUL,True,3575.0,,3502.0
1960-08-01,1960,8,AGO,True,3521.0,,3459.0
1960-09-01,1960,9,SET,True,2822.0,,3397.0
1960-10-01,1960,10,OUT,True,2612.0,,3508.0
1960-11-01,1960,11,NOV,True,1934.0,,3287.0
1960-12-01,1960,12,DEZ,True,4294.0,,3296.0
1961-01-01,1961,1,JAN,True,1563.0,,1728.0
1961-02-01,1961,2,FEV,True,1814.0,,1811.0
1961-03-01,1961,3,MAR,True,2474.0,,2150.0
1961-04-01,1961,4,ABR,True,2248.0,,2106.0
1961-05-01,1961,5,MAI,True,2516.0,,2381.0
1961-06-01,1961,6,JUN,True,2742.0,,2370.0
1961-07-01,1961,7,JUL,True,2465.0,,2522.0
1961-08-01,1961,8,AGO,True,2463.0,,2508.0
1961-09-01,1961,9,SET,True,1964.0,,2398.0
1961-10-01,1961,10,OUT,True,1799.0,,2379.0
1961-11-01,1961,11,NOV,True,1309.0,,2280.0
1961-12-01,1961,12,DEZ,True,2932.0,,2258.0
1962-01-01,1962,1,JAN,True,2137.0,,2272.0
1962-02-01,1962,2,FEV,True,2529.0,,2253.0
1962-03-01,1962,3,MAR,True,3378.0,,2719.0
1962-04-01,1962,4,ABR,True,3127.0,,2742.0
1962-05-01,1962,5,MAI,True,3469.0,,3189.0
1962-06-01,1962,6,JUN,True,3800.0,,3262.0
1962-07-01,1962,7,JUL,True,3379.0,,3412.0
1962-08-01,1962,8,AGO,True,3353.0,,3503.0
1962-09-01,1962,9,SET,True,2730.0,,3288.0
1962-10-01,1962,10,OUT,True,2516.0,,3320.0
1962-11-01,1962,11,NOV,True,1790.0,,3093.0
1962-12-01,1962,12,DEZ,True,3986.0,,3121.0
1963-01-01,1963,1,JAN,True,1213.0,,1307.0
1963-02-01,1963,2,FEV,True,1585.0,,1333.0
1963-03-01,1963,3,MAR,True,1894.0,,1665.0
1963-04-01,1963,4,ABR,True,1889.0,,1653.0
1963-05-01,1963,5,MAI,True,2107.0,,1878.0
1963-06-01,1963,6,JUN,True,2122.0,,1884.0
1963-07-01,1963,7,JUL,True,1930.0,,1994.0
1963-08-01,1963,8,AGO,True,2037.0,,1986.0
1963-09-01,1963,9,SET,True,1654.0,,1911.0
1963-10-01,1963,10,OUT,True,1496.0,,2083.0
1963-11-01,1963,11,NOV,True,1203.0,,1901.0
1963-12-01,1963,12,DEZ,True,2406.0,,1961.0
1964-01-01,1964,1,JAN,True,1254.0,,1402.0
1964-02-01,1964,2,FEV,True,1458.0,,1411.0
1964-03-01,1964,3,MAR,True,2009.0,,1708.0
1964-04-01,1964,4,ABR,True,1839.0,,1673.0
1964-05-01,1964,5,MAI,True,2037.0,,1882.0
1964-06-01,1964,6,JUN,True,2198.0,,1871.0
1964-07-01,1964,7,JUL,True,1965.0,,2027.0
1964-08-01,1964,8,AGO,True,1961.0,,1947.0
1964-09-01,1964,9,SET,True,1586.0,,1985.0
1964-10-01,1964,10,OUT,True,1471.0,,2078.0
1964-11-01,1964,11,NOV,True,1076.0,,1900.0
1964-12-01,1964,12,DEZ,True,2320.0,,1906.0
1965-01-01,1965,1,JAN,True,1269.0,2.0,1522.0
1965-02-01,1965,2,FEV,True,1613.0,2.0,1481.0
1965-03-01,1965,3,MAR,True,1997.0,2.0,1763.0
1965-04-01,1965,4,ABR,True,1926.0,0.0,1722.0
1965-05-01,1965,5,MAI,True,2179.0,0.0,1873.0
1965-06-01,1965,6,JUN,True,2202.0,0.0,1890.0
1965-07-01,1965,7,JUL,True,2047.0,0.0,1961.0
1965-08-01,1965,8,AGO,True,2136.0,1.0,1844.0
1965-09-01,1965,9,SET,True,1749.0,1.0,1918.0
1965-10-01,1965,10,OUT,True,1586.0,0.0,2015.0
1965-11-01,1965,11,NOV,True,1242.0,1.0,1901.0
1965-12-01,1965,12,DEZ,True,2505.0,0.0,1938.0
1966-01-01,1966,1,JAN,True,1734.0,0.0,2083.0
1966-02-01,1966,2,FEV,True,2175.0,0.0,2311.0
1966-03-01,1966,3,MAR,True,2645.0,0.0,2732.0
1966-04-01,1966,4,ABR,True,2533.0,0.0,2560.0
1966-05-01,1966,5,MAI,True,2921.0,0.0,2875.0
1966-06-01,1966,6,JUN,True,2951.0,0.0,2728.0
1966-07-01,1966,7,JUL,True,2789.0,0.0,2953.0
1966-08-01,1966,8,AGO,True,2963.0,0.0,3218.0
1966-09-01,1966,9,SET,True,2413.0,0.0,2897.0
1966-10-01,1966,10,OUT,True,2219.0,0.0,2272.0
1966-11-01,1966,11,NOV,True,1780.0,3.0,2367.0
1966-12-01,1966,12,DEZ,True,3424.0,0.0,2102.0
1967-01-01,1967,1,JAN,True,1300.0,0.0,1925.0
1967-02-01,1967,2,FEV,True,1205.0,0.0,1476.0
1967-03-01,1967,3,MAR,True,1994.0,3.0,1498.0
1967-04-01,1967,4,ABR,True,1415.0,0.0,1775.0
1967-05-01,1967,5,MAI,True,2203.0,0.0,2138.0
1967-06-01,1967,6,JUN,True,2879.0,0.0,2543.0
1967-07-01,1967,7,JUL,True,2658.0,0.0,2292.0
1967-08-01,1967,8,AGO,True,2660.0,0.0,2603.0
1967-09-01,1967,9,SET,True,2668.0,0.0,2647.0
1967-10-01,1967,10,OUT,True,2769.0,0.0,2999.0
1967-11-01,1967,11,NOV,True,2785.0,0.0,2580.0
1967-12-01,1967,12,DEZ,True,3073.0,0.0,2665.0
1968-01-01,1968,1,JAN,True,2299.0,0.0,2430.0
1968-02-01,1968,2,FEV,True,2448.0,2.0,2317.0
1968-03-01,1968,3,MAR,True,3161.0,0.0,3252.0
1968-04-01,1968,4,ABR,True,3219.0,0.0,3214.0
1968-05-01,1968,5,MAI,True,3448.0,4.0,3505.0
1968-06-01,1968,6,JUN,True,3719.0,1.0,3717.0
1968-07-01,1968,7,JUL,True,3609.0,0.0,3743.0
1968-08-01,1968,8,AGO,True,3823.0,0.0,3730.0
1968-09-01,1968,9,SET,True,3534.0,0.0,3736.0
1968-10-01,1968,10,OUT,True,3664.0,0.0,4143.0
1968-11-01,1968,11,NOV,True,3340.0,0.0,3244.0
1968-12-01,1968,12,DEZ,True,4194.0,0.0,3611.0
1969-01-01,1969,1,JAN,True,3010.0,0.0,3458.0
1969-02-01,1969,2,FEV,True,2986.0,0.0,3134.0
1969-03-01,1969,3,MAR,True,3192.0,0.0,3592.0
1969-04-01,1969,4,ABR,True,3606.0,0.0,3150.0
1969-05-01,1969,5,MAI,True,3598.0,0.0,3740.0
1969-06-01,1969,6,JUN,True,3426.0,0.0,4006.0
1969-07-01,1969,7,JUL,True,3537.0,0.0,4040.0
1969-08-01,1969,8,AGO,True,3939.0,0.0,3747.0
1969-09-01,1969,9,SET,True,2704.0,0.0,3721.0
1969-10-01,1969,10,OUT,True,3131.0,0.0,3412.0
1969-11-01,1969,11,NOV,True,2972.0,0.0,2491.0
1969-12-01,1969,12,DEZ,True,3332.0,4.0,2078.0
1970-01-01,1970,1,JAN,True,2270.0,6.0,2370.0
1970-02-01,1970,2,FEV,True,2269.0,6.0,2452.0
1970-03-01,1970,3,MAR,True,2692.0,7.0,3178.0
1970-04-01,1970,4,ABR,True,3518.0,10.0,3040.0
1970-05-01,1970,5,MAI,True,3418.0,10.0,3030.0
1970-06-01,1970,6,JUN,True,3328.0,11.0,3603.0
1970-07-01,1970,7,JUL,True,3146.0,13.0,3904.0
1970-08-01,1970,8,AGO,True,3449.0,12.0,3687.0
1970-09-01,1970,9,SET,True,3594.0,8.0,3616.0
1970-10-01,1970,10,OUT,True,3621.0,11.0,2859.0
1970-11-01,1970,11,NOV,True,3550.0,14.0,3346.0
1970-12-01,1970,12,DEZ,True,3312.0,14.0,3303.0
1971-01-01,1971,1,JAN,True,2931.0,0.0,3207.0
