Data,Ano,Mes,MesNome,Metrica,Valor,AnoCompleto
1957-01-01,1957,1,JAN,Emplacamento,1037,True
1957-02-01,1957,2,FEV,Emplacamento,1262,True
1957-03-01,1957,3,MAR,Emplacamento,1706,True
1957-04-01,1957,4,ABR,Emplacamento,1525,True
1957-05-01,1957,5,MAI,Emplacamento,1698,True
1957-06-01,1957,6,JUN,Emplacamento,1659,True
1957-07-01,1957,7,JUL,Emplacamento,1589,True
1957-08-01,1957,8,AGO,Emplacamento,1810,True
1957-09-01,1957,9,SET,Emplacamento,1314,True
1957-10-01,1957,10,OUT,Emplacamento,1176,True
1957-11-01,1957,11,NOV,Emplacamento,1097,True
1957-12-01,1957,12,DEZ,Emplacamento,2190,True
1958-01-01,1958,1,JAN,Emplacamento,1587,True
1958-02-01,1958,2,FEV,Emplacamento,1715,True
1958-03-01,1958,3,MAR,Emplacamento,2783,True
1958-04-01,1958,4,ABR,Emplacamento,2355,True
1958-05-01,1958,5,MAI,Emplacamento,2537,True
1958-06-01,1958,6,JUN,Emplacamento,2821,True
1958-07-01,1958,7,JUL,Emplacamento,2565,True
1958-08-01,1958,8,AGO,Emplacamento,2664,True
1958-09-01,1958,9,SET,Emplacamento,1974,True
1958-10-01,1958,10,OUT,Emplacamento,1839,True
1958-11-01,1958,11,NOV,Emplacamento,1497,True
1958-12-01,1958,12,DEZ,Emplacamento,3047,True
1959-01-01,1959,1,JAN,Emplacamento,2222,True
1959-02-01,1959,2,FEV,Emplacamento,2436,True
1959-03-01,1959,3,MAR,Emplacamento,3565,True
1959-04-01,1959,4,ABR,Emplacamento,3106,True
1959-05-01,1959,5,MAI,Emplacamento,3522,True
1959-06-01,1959,6,JUN,Emplacamento,3967,True
1959-07-01,1959,7,JUL,Emplacamento,3562,True
1959-08-01,1959,8,AGO,Emplacamento,3508,True
1959-09-01,1959,9,SET,Emplacamento,2744,True
1959-10-01,1959,10,OUT,Emplacamento,2556,True
1959-11-01,1959,11,NOV,Emplacamento,1901,True
1959-12-01,1959,12,DEZ,Emplacamento,4122,True
1960-01-01,1960,1,JAN,Emplacamento,2313,True
1960-02-01,1960,2,FEV,Emplacamento,2598,True
1960-03-01,1960,3,MAR,Emplacamento,3612,True
1960-04-01,1960,4,ABR,Emplacamento,3186,True
1960-05-01,1960,5,MAI,Emplacamento,3681,True
1960-06-01,1960,6,JUN,Emplacamento,3905,True
1960-07-01,1960,7,JUL,Emplacamento,3575,True
1960-08-01,1960,8,AGO,Emplacamento,3521,True
1960-09-01,1960,9,SET,Emplacamento,2822,True
1960-10-01,1960,10,OUT,Emplacamento,2612,True
1960-11-01,1960,11,NOV,Emplacamento,1934,True
1960-12-01,1960,12,DEZ,Emplacamento,4294,True
1961-01-01,1961,1,JAN,Emplacamento,1563,True
1961-02-01,1961,2,FEV,Emplacamento,1814,True
1961-03-01,1961,3,MAR,Emplacamento,2474,True
1961-04-01,1961,4,ABR,Emplacamento,2248,True
1961-05-01,1961,5,MAI,Emplacamento,2516,True
1961-06-01,1961,6,JUN,Emplacamento,2742,True
1961-07-01,1961,7,JUL,Emplacamento,2465,True
1961-08-01,1961,8,AGO,Emplacamento,2463,True
1961-09-01,1961,9,SET,Emplacamento,1964,True
1961-10-01,1961,10,OUT,Emplacamento,1799,True
1961-11-01,1961,11,NOV,Emplacamento,1309,True
1961-12-01,1961,12,DEZ,Emplacamento,2932,True
1962-01-01,1962,1,JAN,Emplacamento,2137,True
1962-02-01,1962,2,FEV,Emplacamento,2529,True
1962-03-01,1962,3,MAR,Emplacamento,3378,True
1962-04-01,1962,4,ABR,Emplacamento,3127,True
1962-05-01,1962,5,MAI,Emplacamento,3469,True
1962-06-01,1962,6,JUN,Emplacamento,3800,True
1962-07-01,1962,7,JUL,Emplacamento,3379,True
1962-08-01,1962,8,AGO,Emplacamento,3353,True
1962-09-01,1962,9,SET,Emplacamento,2730,True
1962-10-01,1962,10,OUT,Emplacamento,2516,True
1962-11-01,1962,11,NOV,Emplacamento,1790,True
1962-12-01,1962,12,DEZ,Emplacamento,3986,True
1963-01-01,1963,1,JAN,Emplacamento,1213,True
1963-02-01,1963,2,FEV,Emplacamento,1585,True
1963-03-01,1963,3,MAR,Emplacamento,1894,True
1963-04-01,1963,4,ABR,Emplacamento,1889,True
1963-05-01,1963,5,MAI,Emplacamento,2107,True
1963-06-01,1963,6,JUN,Emplacamento,2122,True
1963-07-01,1963,7,JUL,Emplacamento,1930,True
1963-08-01,1963,8,AGO,Emplacamento,2037,True
1963-09-01,1963,9,SET,Emplacamento,1654,True
1963-10-01,1963,10,OUT,Emplacamento,1496,True
1963-11-01,1963,11,NOV,Emplacamento,1203,True
1963-12-01,1963,12,DEZ,Emplacamento,2406,True
1964-01-01,1964,1,JAN,Emplacamento,1254,True
1964-02-01,1964,2,FEV,Emplacamento,1458,True
1964-03-01,1964,3,MAR,Emplacamento,2009,True
1964-04-01,1964,4,ABR,Emplacamento,1839,True
1964-05-01,1964,5,MAI,Emplacamento,2037,True
1964-06-01,1964,6,JUN,Emplacamento,2198,True
1964-07-01,1964,7,JUL,Emplacamento,1965,True
1964-08-01,1964,8,AGO,Emplacamento,1961,True
1964-09-01,1964,9,SET,Emplacamento,1586,True
1964-10-01,1964,10,OUT,Emplacamento,1471,True
1964-11-01,1964,11,NOV,Emplacamento,1076,True
1964-12-01,1964,12,DEZ,Emplacamento,2320,True
1965-01-01,1965,1,JAN,Emplacamento,1269,True
1965-02-01,1965,2,FEV,Emplacamento,1613,True
1965-03-01,1965,3,MAR,Emplacamento,1997,True
1965-04-01,1965,4,ABR,Emplacamento,1926,True
1965-05-01,1965,5,MAI,Emplacamento,2179,True
1965-06-01,1965,6,JUN,Emplacamento,2202,True
1965-07-01,1965,7,JUL,Emplacamento,2047,True
1965-08-01,1965,8,AGO,Emplacamento,2136,True
1965-09-01,1965,9,SET,Emplacamento,1749,True
1965-10-01,1965,10,OUT,Emplacamento,1586,True
1965-11-01,1965,11,NOV,Emplacamento,1242,True
1965-12-01,1965,12,DEZ,Emplacamento,2505,True
