"Emplacamento de Caminhões"
"Período";"CAMINHÕES"
"1957 - JAN";1037
"1957 - FEV";1262
"1957 - MAR";1706
"1957 - ABR";1525
"1957 - MAI";1698
"1957 - JUN";1659
"1957 - JUL";1589
"1957 - AGO";1810
"1957 - SET";1314
"1957 - OUT";1176
"1957 - NOV";1097
"1957 - DEZ";2190
"1958 - JAN";1587
"1958 - FEV";1715
"1958 - MAR";2783
"1958 - ABR";2355
"1958 - MAI";2537
"1958 - JUN";2821
"1958 - JUL";2565
"1958 - AGO";2664
"1958 - SET";1974
"1958 - OUT";1839
"1958 - NOV";1497
"1958 - DEZ";3047
"1959 - JAN";2222
"1959 - FEV";2436
"1959 - MAR";3565
"1959 - ABR";3106
"1959 - MAI";3522
"1959 - JUN";3967
"1959 - JUL";3562
"1959 - AGO";3508
"1959 - SET";2744
"1959 - OUT";2556
"1959 - NOV";1901
"1959 - DEZ";4122
"1960 - JAN";2313
"1960 - FEV";2598
"1960 - MAR";3612
"1960 - ABR";3186
"1960 - MAI";3681
"1960 - JUN";3905
"1960 - JUL";3575
"1960 - AGO";3521
"1960 - SET";2822
"1960 - OUT";2612
"1960 - NOV";1934
"1960 - DEZ";4294
"1961 - JAN";1563
"1961 - FEV";1814
"1961 - MAR";2474
"1961 - ABR";2248
"1961 - MAI";2516
"1961 - JUN";2742
"1961 - JUL";2465
"1961 - AGO";2463
"1961 - SET";1964
"1961 - OUT";1799
"1961 - NOV";1309
"1961 - DEZ";2932
"1962 - JAN";2137
"1962 - FEV";2529
"1962 - MAR";3378
"1962 - ABR";3127
"1962 - MAI";3469
"1962 - JUN";3800
"1962 - JUL";3379
"1962 - AGO";3353
"1962 - SET";2730
"1962 - OUT";2516
"1962 - NOV";1790
"1962 - DEZ";3986
"1963 - JAN";1213
"1963 - FEV";1585
"1963 - MAR";1894
"1963 - ABR";1889
"1963 - MAI";2107
"1963 - JUN";2122
"1963 - JUL";1930
"1963 - AGO";2037
"1963 - SET";1654
"1963 - OUT";1496
"1963 - NOV";1203
"1963 - DEZ";2406
"1964 - JAN";1254
"1964 - FEV";1458
"1964 - MAR";2009
"1964 - ABR";1839
"1964 - MAI";2037
"1964 - JUN";2198
"1964 - JUL";1965
"1964 - AGO";1961
"1964 - SET";1586
"1964 - OUT";1471
"1964 - NOV";1076
"1964 - DEZ";2320
"1965 - JAN";1269
"1965 - FEV";1613
"1965 - MAR";1997
"1965 - ABR";1926
"1965 - MAI";2179
"1965 - JUN";2202
"1965 - JUL";2047
"1965 - AGO";2136
"1965 - SET";1749
"1965 - OUT";1586
"1965 - NOV";1242
"1965 - DEZ";2505
"1966 - JAN";1734
"1966 - FEV";2175
"1966 - MAR";2645
"1966 - ABR";2533
"1966 - MAI";2921
"1966 - JUN";2951
"1966 - JUL";2789
"1966 - AGO";2963
"1966 - SET";2413
"1966 - OUT";2219
"1966 - NOV";1780
"1966 - DEZ";3424
"1967 - JAN";1300
"1967 - FEV";1205
"1967 - MAR";1994
"1967 - ABR";1415
