"Emplacamento de Caminhões"
"Período";"CAMINHÕES"
"1957";18063
"1958";27384
"1959";37211
"1960";38053
"1961";26289
"1962";36194
"1963";21536
"1964";21174
"1965";22451
"1966";30547
"1967";27609
"1968";40458
"1969";39433
"1970";38167
"1971";37643
"1972";50342
"1973";64818
"1974";71433
"1975";69901
"1976";74971
"1977";90247
"1978";78891
"1979";78706
"1980";81933
"1981";55938
"1982";41257
"1983";34573
"1984";42884
"1985";55664
"1986";71853
"1987";56385
"1988";54912
"1989";48178
"1990";41313
"1991";41464
"1992";25659
"1993";38383
"1994";52349
"1995";58734
"1996";42134
"1997";54931
"1998";52768
"1999";50665
"2000";69209
"2001";73517
"2002";65680
"2003";65962
"2004";81484
"2005";79533
"2006";75971
"2007";98585
"2008";122287
"2009";109827
"2010";157707
"2011";172870
"2012";139174
"2013";154576
"2014";137055
"2015";71652
"2016";50560
"2017";51943
"2018";76005
"2019";101335
"2020";89687
"2021";128689
"2022";126654
"2023";107960
"2024";124848
"2025";113479
