"Exportação de Caminhões"
"Período";"CAMINHÕES"
"1965 - JAN";2
"1965 - FEV";2
"1965 - MAR";2
"1965 - ABR";0
"1965 - MAI";0
"1965 - JUN";0
"1965 - JUL";0
"1965 - AGO";1
"1965 - SET";1
"1965 - OUT";0
"1965 - NOV";1
"1965 - DEZ";0
"1966 - JAN";0
"1966 - FEV";0
"1966 - MAR";0
"1966 - ABR";0
"1966 - MAI";0
"1966 - JUN";0
"1966 - JUL";0
"1966 - AGO";0
"1966 - SET";0
"1966 - OUT";0
"1966 - NOV";3
"1966 - DEZ";0
"1967 - JAN";0
"1967 - FEV";0
"1967 - MAR";3
"1967 - ABR";0
"1967 - MAI";0
"1967 - JUN";0
"1967 - JUL";0
"1967 - AGO";0
"1967 - SET";0
"1967 - OUT";0
"1967 - NOV";0
"1967 - DEZ";0
"1968 - JAN";0
"1968 - FEV";2
"1968 - MAR";0
"1968 - ABR";0
"1968 - MAI";4
"1968 - JUN";1
"1968 - JUL";0
"1968 - AGO";0
"1968 - SET";0
"1968 - OUT";0
"1968 - NOV";0
"1968 - DEZ";0
"1969 - JAN";0
"1969 - FEV";0
"1969 - MAR";0
"1969 - ABR";0
"1969 - MAI";0
"1969 - JUN";0
"1969 - JUL";0
"1969 - AGO";0
"1969 - SET";0
"1969 - OUT";0
"1969 - NOV";0
"1969 - DEZ";4
"1970 - JAN";6
"1970 - FEV";6
"1970 - MAR";7
"1970 - ABR";10
"1970 - MAI";10
"1970 - JUN";11
"1970 - JUL";13
"1970 - AGO";12
"1970 - SET";8
"1970 - OUT";11
"1970 - NOV";14
"1970 - DEZ";14
"1971 - JAN";0
"1971 - FEV";26
"1971 - MAR";80
"1971 - ABR";23
"1971 - MAI";42
"1971 - JUN";43
"1971 - JUL";31
"1971 - AGO";16
"1971 - SET";33
"1971 - OUT";31
"1971 - NOV";20
"1971 - DEZ";19
"1972 - JAN";33
"1972 - FEV";10
"1972 - MAR";37
"1972 - ABR";57
"1972 - MAI";75
"1972 - JUN";43
"1972 - JUL";72
"1972 - AGO";65
"1972 - SET";21
"1972 - OUT";60
"1972 - NOV";35
"1972 - DEZ";36
"1973 - JAN";76
"1973 - FEV";158
"1973 - MAR";34
"1973 - ABR";44
"1973 - MAI";44
"1973 - JUN";110
"1973 - JUL";71
"1973 - AGO";101
"1973 - SET";178
"1973 - OUT";162
"1973 - NOV";239
"1973 - DEZ";167
"1974 - JAN";53
"1974 - FEV";109
"1974 - MAR";139
"1974 - ABR";236
"1974 - MAI";235
"1974 - JUN";98
"1974 - JUL";490
"1974 - AGO";337
"1974 - SET";318
"1974 - OUT";374
"1974 - NOV";248
"1974 - DEZ";295
"1975 - JAN";374
"1975 - FEV";335
"1975 - MAR";501
"1975 - ABR";309
"1975 - MAI";444
"1975 - JUN";304
"1975 - JUL";268
"1975 - AGO";260
"1975 - SET";333
"1975 - OUT";281
"1975 - NOV";490
"1975 - DEZ";517
"1976 - JAN";347
"1976 - FEV";431
"1976 - MAR";535
"1976 - ABR";417
"1976 - MAI";482
"1976 - JUN";546
"1976 - JUL";236
"1976 - AGO";783
"1976 - SET";476
"1976 - OUT";751
"1976 - NOV";514
"1976 - DEZ";566
"1977 - JAN";631
"1977 - FEV";470
"1977 - MAR";514
"1977 - ABR";481
"1977 - MAI";530
"1977 - JUN";392
"1977 - JUL";650
"1977 - AGO";504
"1977 - SET";650
"1977 - OUT";484
"1977 - NOV";622
"1977 - DEZ";499
"1978 - JAN";411
"1978 - FEV";491
"1978 - MAR";485
"1978 - ABR";441
"1978 - MAI";457
"1978 - JUN";542
"1978 - JUL";725
"1978 - AGO";540
"1978 - SET";618
"1978 - OUT";920
"1978 - NOV";1016
"1978 - DEZ";878
"1979 - JAN";545
"1979 - FEV";588
"1979 - MAR";447
"1979 - ABR";853
"1979 - MAI";760
"1979 - JUN";886
"1979 - JUL";1132
"1979 - AGO";1253
"1979 - SET";1062
"1979 - OUT";1411
"1979 - NOV";977
"1979 - DEZ";1341
"1980 - JAN";628
"1980 - FEV";1088
"1980 - MAR";1026
"1980 - ABR";503
"1980 - MAI";1454
"1980 - JUN";1621
"1980 - JUL";1433
"1980 - AGO";1366
"1980 - SET";1525
"1980 - OUT";1212
"1980 - NOV";1402
"1980 - DEZ";1204
"1981 - JAN";1110
"1981 - FEV";1419
"1981 - MAR";1111
"1981 - ABR";1186
"1981 - MAI";951
"1981 - JUN";1336
"1981 - JUL";1290
"1981 - AGO";865
"1981 - SET";667
"1981 - OUT";732
"1981 - NOV";561
"1981 - DEZ";517
"1982 - JAN";274
"1982 - FEV";192
"1982 - MAR";430
"1982 - ABR";202
"1982 - MAI";225
"1982 - JUN";158
"1982 - JUL";150
"1982 - AGO";373
"1982 - SET";257
"1982 - OUT";130
"1982 - NOV";99
"1982 - DEZ";90
"1983 - JAN";23
"1983 - FEV";108
"1983 - MAR";149
"1983 - ABR";5
"1983 - MAI";165
"1983 - JUN";32
"1983 - JUL";48
"1983 - AGO";80
"1983 - SET";53
"1983 - OUT";137
"1983 - NOV";88
"1983 - DEZ";531
"1984 - JAN";32
"1984 - FEV";122
"1984 - MAR";38
"1984 - ABR";37
"1984 - MAI";60
"1984 - JUN";91
"1984 - JUL";198
"1984 - AGO";272
"1984 - SET";137
"1984 - OUT";131
"1984 - NOV";127
"1984 - DEZ";351
"1985 - JAN";143
"1985 - FEV";29
"1985 - MAR";133
"1985 - ABR";264
"1985 - MAI";585
"1985 - JUN";222
"1985 - JUL";212
"1985 - AGO";868
"1985 - SET";516
"1985 - OUT";534
"1985 - NOV";591
"1985 - DEZ";641
"1986 - JAN";407
"1986 - FEV";229
"1986 - MAR";382
"1986 - ABR";425
"1986 - MAI";433
"1986 - JUN";533
"1986 - JUL";543
"1986 - AGO";474
"1986 - SET";217
"1986 - OUT";712
"1986 - NOV";535
"1986 - DEZ";784
"1987 - JAN";359
"1987 - FEV";391
"1987 - MAR";554
"1987 - ABR";884
"1987 - MAI";950
"1987 - JUN";988
"1987 - JUL";1395
"1987 - AGO";882
"1987 - SET";749
"1987 - OUT";1411
"1987 - NOV";1299
"1987 - DEZ";1382
"1988 - JAN";862
"1988 - FEV";1284
"1988 - MAR";1291
"1988 - ABR";1160
"1988 - MAI";1531
"1988 - JUN";1113
"1988 - JUL";660
"1988 - AGO";1432
"1988 - SET";671
"1988 - OUT";971
"1988 - NOV";865
"1988 - DEZ";1084
"1989 - JAN";709
"1989 - FEV";521
"1989 - MAR";931
"1989 - ABR";560
"1989 - MAI";685
"1989 - JUN";1207
"1989 - JUL";1155
"1989 - AGO";933
"1989 - SET";794
"1989 - OUT";723
"1989 - NOV";791
"1989 - DEZ";979
"1990 - JAN";403
"1990 - FEV";281
"1990 - MAR";343
"1990 - ABR";297
"1990 - MAI";618
"1990 - JUN";573
"1990 - JUL";202
"1990 - AGO";261
"1990 - SET";708
"1990 - OUT";219
"1990 - NOV";330
"1990 - DEZ";825
"1991 - JAN";136
"1991 - FEV";225
"1991 - MAR";277
"1991 - ABR";248
"1991 - MAI";175
"1991 - JUN";257
"1991 - JUL";307
"1991 - AGO";526
"1991 - SET";287
"1991 - OUT";414
"1991 - NOV";373
"1991 - DEZ";376
"1992 - JAN";346
"1992 - FEV";454
"1992 - MAR";596
"1992 - ABR";425
"1992 - MAI";760
"1992 - JUN";791
"1992 - JUL";699
"1992 - AGO";605
"1992 - SET";979
"1992 - OUT";591
"1992 - NOV";473
"1992 - DEZ";1075
"1993 - JAN";189
"1993 - FEV";546
"1993 - MAR";783
"1993 - ABR";561
"1993 - MAI";712
"1993 - JUN";835
"1993 - JUL";654
"1993 - AGO";744
"1993 - SET";840
"1993 - OUT";555
"1993 - NOV";870
"1993 - DEZ";1299
"1994 - JAN";435
"1994 - FEV";756
"1994 - MAR";813
"1994 - ABR";569
"1994 - MAI";1093
"1994 - JUN";944
"1994 - JUL";1030
"1994 - AGO";1226
"1994 - SET";859
"1994 - OUT";839
"1994 - NOV";980
"1994 - DEZ";846
"1995 - JAN";512
"1995 - FEV";499
"1995 - MAR";790
"1995 - ABR";608
"1995 - MAI";757
"1995 - JUN";489
"1995 - JUL";957
"1995 - AGO";875
"1995 - SET";841
"1995 - OUT";587
"1995 - NOV";693
"1995 - DEZ";658
"1996 - JAN";348
"1996 - FEV";398
"1996 - MAR";843
"1996 - ABR";447
"1996 - MAI";689
"1996 - JUN";620
"1996 - JUL";603
"1996 - AGO";906
"1996 - SET";582
"1996 - OUT";669
"1996 - NOV";958
"1996 - DEZ";820
"1997 - JAN";560
"1997 - FEV";571
"1997 - MAR";824
"1997 - ABR";901
"1997 - MAI";1002
"1997 - JUN";950
"1997 - JUL";1212
"1997 - AGO";999
"1997 - SET";1005
"1997 - OUT";1199
"1997 - NOV";1191
"1997 - DEZ";1712
"1998 - JAN";1097
"1998 - FEV";1262
"1998 - MAR";1157
"1998 - ABR";1372
"1998 - MAI";1143
"1998 - JUN";1086
"1998 - JUL";1267
"1998 - AGO";1147
"1998 - SET";1369
"1998 - OUT";1237
"1998 - NOV";1232
"1998 - DEZ";673
"1999 - JAN";642
"1999 - FEV";753
"1999 - MAR";788
"1999 - ABR";669
"1999 - MAI";562
"1999 - JUN";695
"1999 - JUL";573
"1999 - AGO";578
"1999 - SET";604
"1999 - OUT";691
"1999 - NOV";1004
"1999 - DEZ";827
"2000 - JAN";404
"2000 - FEV";1084
"2000 - MAR";919
"2000 - ABR";825
"2000 - MAI";957
"2000 - JUN";598
"2000 - JUL";654
"2000 - AGO";681
"2000 - SET";686
"2000 - OUT";512
"2000 - NOV";665
"2000 - DEZ";760
"2001 - JAN";347
"2001 - FEV";625
"2001 - MAR";847
"2001 - ABR";564
"2001 - MAI";586
"2001 - JUN";688
"2001 - JUL";646
"2001 - AGO";524
"2001 - SET";523
"2001 - OUT";481
"2001 - NOV";336
"2001 - DEZ";395
"2002 - JAN";154
"2002 - FEV";280
"2002 - MAR";461
"2002 - ABR";268
"2002 - MAI";543
"2002 - JUN";365
"2002 - JUL";525
"2002 - AGO";422
"2002 - SET";648
"2002 - OUT";546
"2002 - NOV";496
"2002 - DEZ";583
"2003 - JAN";301
"2003 - FEV";660
"2003 - MAR";738
"2003 - ABR";663
"2003 - MAI";674
"2003 - JUN";1139
"2003 - JUL";1042
"2003 - AGO";1025
"2003 - SET";1282
"2003 - OUT";1285
"2003 - NOV";1554
"2003 - DEZ";1322
