"Exportação de Caminhões"
"Período";"CAMINHÕES"
"1965";9
"1966";3
"1967";3
"1968";7
"1969";4
"1970";122
"1971";364
"1972";544
"1973";1384
"1974";2932
"1975";4416
"1976";6084
"1977";6427
"1978";7524
"1979";11255
"1980";14462
"1981";11745
"1982";2580
"1983";1419
"1984";1596
"1985";4738
"1986";5674
"1987";11244
"1988";12924
"1989";9988
"1990";5060
"1991";3601
"1992";7794
"1993";8588
"1994";10390
"1995";8266
"1996";7883
"1997";12126
"1998";14042
"1999";8386
"2000";8745
"2001";6562
"2002";5291
"2003";11685
"2004";23216
"2005";33632
"2006";35083
"2007";38111
"2008";34831
"2009";10851
"2010";21182
"2011";27034
"2012";23067
"2013";24201
"2014";17737
"2015";20983
"2016";21548
"2017";28220
"2018";24642
"2019";13552
"2020";13243
"2021";22699
"2022";25258
"2023";16946
"2024";17890
"2025";26984
