"Produção de Caminhões"
"Período";"CAMINHÕES"
"1957 - JAN";981
"1957 - FEV";1103
"1957 - MAR";1290
"1957 - ABR";1266
"1957 - MAI";1439
"1957 - JUN";1431
"1957 - JUL";1541
"1957 - AGO";1483
"1957 - SET";1477
"1957 - OUT";1501
"1957 - NOV";1460
"1957 - DEZ";1287
"1958 - JAN";1659
"1958 - FEV";1810
"1958 - MAR";2138
"1958 - ABR";2095
"1958 - MAI";2373
"1958 - JUN";2359
"1958 - JUL";2534
"1958 - AGO";2463
"1958 - SET";2451
"1958 - OUT";2505
"1958 - NOV";2388
"1958 - DEZ";2223
"1959 - JAN";2330
"1959 - FEV";2365
"1959 - MAR";2833
"1959 - ABR";2829
"1959 - MAI";3198
"1959 - JUN";3208
"1959 - JUL";3401
"1959 - AGO";3395
"1959 - SET";3312
"1959 - OUT";3401
"1959 - NOV";3193
"1959 - DEZ";3192
"1960 - JAN";2427
"1960 - FEV";2461
"1960 - MAR";2937
"1960 - ABR";2926
"1960 - MAI";3297
"1960 - JUN";3313
"1960 - JUL";3502
"1960 - AGO";3459
"1960 - SET";3397
"1960 - OUT";3508
"1960 - NOV";3287
"1960 - DEZ";3296
"1961 - JAN";1728
"1961 - FEV";1811
"1961 - MAR";2150
"1961 - ABR";2106
"1961 - MAI";2381
"1961 - JUN";2370
"1961 - JUL";2522
"1961 - AGO";2508
"1961 - SET";2398
"1961 - OUT";2379
"1961 - NOV";2280
"1961 - DEZ";2258
"1962 - JAN";2272
"1962 - FEV";2253
"1962 - MAR";2719
"1962 - ABR";2742
"1962 - MAI";3189
"1962 - JUN";3262
"1962 - JUL";3412
"1962 - AGO";3503
"1962 - SET";3288
"1962 - OUT";3320
"1962 - NOV";3093
"1962 - DEZ";3121
"1963 - JAN";1307
"1963 - FEV";1333
"1963 - MAR";1665
"1963 - ABR";1653
"1963 - MAI";1878
"1963 - JUN";1884
"1963 - JUL";1994
"1963 - AGO";1986
"1963 - SET";1911
"1963 - OUT";2083
"1963 - NOV";1901
"1963 - DEZ";1961
"1964 - JAN";1402
"1964 - FEV";1411
"1964 - MAR";1708
"1964 - ABR";1673
"1964 - MAI";1882
"1964 - JUN";1871
"1964 - JUL";2027
"1964 - AGO";1947
"1964 - SET";1985
"1964 - OUT";2078
"1964 - NOV";1900
"1964 - DEZ";1906
"1965 - JAN";1522
"1965 - FEV";1481
"1965 - MAR";1763
"1965 - ABR";1722
"1965 - MAI";1873
"1965 - JUN";1890
"1965 - JUL";1961
"1965 - AGO";1844
"1965 - SET";1918
"1965 - OUT";2015
"1965 - NOV";1901
"1965 - DEZ";1938
"1966 - JAN";2083
"1966 - FEV";2311
"1966 - MAR";2732
"1966 - ABR";2560
"1966 - MAI";2875
"1966 - JUN";2728
"1966 - JUL";2953
"1966 - AGO";3218
"1966 - SET";2897
"1966 - OUT";2272
"1966 - NOV";2367
"1966 - DEZ";2102
"1967 - JAN";1925
"1967 - FEV";1476
"1967 - MAR";1498
"1967 - ABR";1775
"1967 - MAI";2138
"1967 - JUN";2543
"1967 - JUL";2292
"1967 - AGO";2603
"1967 - SET";2647
"1967 - OUT";2999
"1967 - NOV";2580
"1967 - DEZ";2665
"1968 - JAN";2430
"1968 - FEV";2317
"1968 - MAR";3252
"1968 - ABR";3214
