"Produção de Caminhões"
"Período";"CAMINHÕES"
"1957";16259
"1958";26998
"1959";36657
"1960";37810
"1961";26891
"1962";36174
"1963";21556
"1964";21790
"1965";21828
"1966";31098
"1967";27141
"1968";40642
"1969";40569
"1970";38388
"1971";38868
"1972";50150
"1973";64828
"1974";75149
"1975";74891
"1976";80885
"1977";99527
"1978";83649
"1979";89959
"1980";97463
"1981";69312
"1982";44000
"1983";33235
"1984";43117
"1985";60266
"1986";78634
"1987";67935
"1988";68880
"1989";57013
"1990";48219
"1991";46715
"1992";30960
"1993";45382
"1994";60019
"1995";70073
"1996";48022
"1997";63414
"1998";63264
"1999";55194
"2000";71114
"2001";77251
"2002";68354
"2003";77785
"2004";104792
"2005";112921
"2006";103297
"2007";133739
"2008";163757
"2009";120994
"2010";189933
"2011";223602
"2012";133403
"2013";187002
"2014";139965
"2015";74062
"2016";60482
"2017";83044
"2018";105534
"2019";113476
"2020";90936
"2021";158810
"2022";161992
"2023";100535
"2024";141252
"2025";124116
